Título,Preço (R$),Link
RTX 3090 24GB PNY XLR8 - Loja física - Garantia - Olx Pay,3999,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/informatica/placas-de-video/rtx-3090-24gb-pny-xlr8-loja-fisica-garantia-olx-pay-1360411378
RTX 3090 Gigabyte TURBO Edition,4350,https://go.olx.com.br/grande-goiania-e-anapolis/informatica/placas-de-video/rtx-3090-gigabyte-turbo-edition-1359573735
RTX 3090 ZOTAC Trinity,4200,https://go.olx.com.br/grande-goiania-e-anapolis/informatica/placas-de-video/rtx-3090-zotac-trinity-1359574374
RTX 3090 Zotac 24Gb,3990,https://al.olx.com.br/alagoas/informatica/placas-de-video/rtx-3090-zotac-24gb-1359962495
Rtx 3090 24 gb,4700,https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/informatica/placas-de-video/rtx-3090-24-gb-1359794068
RTX 3090 Gainward 24GB,4599,https://go.olx.com.br/grande-goiania-e-anapolis/informatica/placas-de-video/rtx-3090-gainward-24gb-1351186821
RTX 3090,3800,https://mg.olx.com.br/belo-horizonte-e-regiao/informatica/placas-de-video/rtx-3090-1358890567
Rtx 3090 24GB | Troc0 e Parcel0,4249,https://go.olx.com.br/grande-goiania-e-anapolis/informatica/placas-de-video/rtx-3090-24gb-troc0-e-parcel0-1340693918
RTX Asus 3090,4900,https://mt.olx.com.br/regiao-de-cuiaba/informatica/placas-de-video/rtx-asus-3090-1323113568
RTX 3090 24GB PNY,4299,https://mg.olx.com.br/belo-horizonte-e-regiao/informatica/placas-de-video/rtx-3090-24gb-pny-1356378805
Rtx 3090,4200,https://mt.olx.com.br/regiao-de-cuiaba/informatica/placas-de-video/rtx-3090-1354941596
NVIDIA RTX 3090,2999,https://rj.olx.com.br/rio-de-janeiro-e-regiao/informatica/placas-de-video/nvidia-rtx-3090-1360311939
GeForce RTX 3090 24GB VRAM Gainward,4000,https://mg.olx.com.br/regiao-de-juiz-de-fora/informatica/placas-de-video/geforce-rtx-3090-24gb-vram-gainward-1357657316
Placa de vídeo RTX 3090 24GB PNY - Loja física - Garantia,3999,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/informatica/placas-de-video/placa-de-video-rtx-3090-24gb-pny-loja-fisica-garantia-1360314665
Placa de vídeo RTX 3090 24GB PNY XLR8 - Loja física - Garantia,3999,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/informatica/placas-de-video/placa-de-video-rtx-3090-24gb-pny-xlr8-loja-fisica-garantia-1359390450
EVGA GeForce RTX 3090 FTW3 Ultra - Placa de Vídeo Top de Linha,7500,https://al.olx.com.br/alagoas/informatica/placas-de-video/evga-geforce-rtx-3090-ftw3-ultra-placa-de-video-top-de-linha-1358738115
Placa de vídeo RTX 3090 24GB PNY XLR8 - Loja física - Garantia,3999,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/informatica/placas-de-video/placa-de-video-rtx-3090-24gb-pny-xlr8-loja-fisica-garantia-1358330763
Placa de Video RTX 3090 Zotac 24gb Trinity,4000,https://rj.olx.com.br/rio-de-janeiro-e-regiao/informatica/placas-de-video/placa-de-video-rtx-3090-zotac-24gb-trinity-1336805104
"Placa de Video Zotac GeForce RTX 3090 Trinity OC, 24GB, GDDR6X, 384-bit",3599,https://rj.olx.com.br/rio-de-janeiro-e-regiao/informatica/placas-de-video/placa-de-video-zotac-geforce-rtx-3090-trinity-oc-24gb-gddr6x-384-bit-1360188224
Placa de Vídeo ASUS ROG Strix GeForce RTX 3090 24GB White Edition,5500,https://pe.olx.com.br/grande-recife/informatica/placas-de-video/placa-de-video-asus-rog-strix-geforce-rtx-3090-24gb-white-edition-1360045514
EVGA NVIDIA GeForce RTX 3090 24GB,5000,https://sp.olx.com.br/sao-paulo-e-regiao/informatica/placas-de-video/evga-nvidia-geforce-rtx-3090-24gb-1359833973
Placa de vídeo Asus Tuf Gaming RTX 3090 24gb,8000,https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/informatica/placas-de-video/placa-de-video-asus-tuf-gaming-rtx-3090-24gb-1307311377
Placa De Vídeo Nvidia Gainward Phoenix Geforce Rtx 30 Series Rtx 3090 Ned3090019sb-132bx 2,4700,https://es.olx.com.br/norte-do-espirito-santo/informatica/placas-de-video/placa-de-video-nvidia-gainward-phoenix-geforce-rtx-30-series-rtx-3090-ned3090019sb-132bx-2-1350003362
Placa de vídeo GeForce RTX 3090,4500,https://go.olx.com.br/grande-goiania-e-anapolis/informatica/placas-de-video/placa-de-video-geforce-rtx-3090-1313433002
Placa de Video Gigabyte GeForce RTX 3090 Gaming OC Edition 24GB GDDR6X,5000,https://mg.olx.com.br/regiao-de-juiz-de-fora/informatica/placas-de-video/placa-de-video-gigabyte-geforce-rtx-3090-gaming-oc-edition-24gb-gddr6x-1332679882
"Placa De Vídeo Zotac Nvidia Geforce Rtx 3090 Trinity, 24gb",4290,https://mg.olx.com.br/belo-horizonte-e-regiao/informatica/placas-de-video/placa-de-video-zotac-nvidia-geforce-rtx-3090-trinity-24gb-1235380839
Placa de video Gforce Nvidea Rtx 3090,4500,https://sp.olx.com.br/sao-paulo-e-regiao/informatica/placas-de-video/placa-de-video-gforce-nvidea-rtx-3090-1331143339
Placa de Vídeo GeForce RTX 3090 Zotac Trinity 24GB DDR6X,4000,https://rs.olx.com.br/regioes-de-santa-maria-uruguaiana-e-cruz-alta/informatica/placas-de-video/placa-de-video-geforce-rtx-3090-zotac-trinity-24gb-ddr6x-1345703794
